Match ID,Innings,Over,runs_in_over,wickets_in_over,balls_in_over,target_score,cum_runs_before_over,cum_wickets_before_over,cum_balls_before_over,overs_completed_before,balls_remaining_before_over,run_rate_so_far,runs_remaining,overs_remaining,req_run_rate,runs_last_over,runs_last_3_overs,wickets_last_3_overs,danger_over
335993,2,3,10,0,6,148,8,0,12,2,108,4.0,140,17,8.235294117647058,3.0,8.0,0.0,0
335993,2,4,7,0,6,148,18,0,18,3,102,6.0,130,16,8.125,10.0,18.0,0.0,0
335993,2,5,10,0,6,148,25,0,24,4,96,6.25,123,15,8.2,7.0,20.0,0.0,0
335993,2,6,10,0,6,148,35,0,30,5,90,7.0,113,14,8.071428571428571,10.0,27.0,0.0,0
335993,2,7,10,0,6,148,45,0,36,6,84,7.5,103,13,7.923076923076923,10.0,27.0,0.0,0
335993,2,8,11,0,6,148,55,0,42,7,78,7.857142857142857,93,12,7.75,10.0,30.0,0.0,0
335993,2,9,6,1,6,148,66,0,48,8,72,8.25,82,11,7.454545454545454,11.0,31.0,0.0,1
335993,2,10,5,0,6,148,72,1,54,9,66,8.0,76,10,7.6,6.0,27.0,1.0,0
335993,2,11,4,0,6,148,77,1,60,10,60,7.7,71,9,7.888888888888889,5.0,22.0,1.0,0
335993,2,12,9,0,6,148,81,1,66,11,54,7.363636363636363,67,8,8.375,4.0,15.0,1.0,0
335993,2,13,5,0,6,148,90,1,72,12,48,7.5,58,7,8.285714285714286,9.0,18.0,0.0,0
335993,2,14,12,0,6,148,95,1,78,13,42,7.3076923076923075,53,6,8.833333333333334,5.0,18.0,0.0,1
335993,2,15,14,0,6,148,107,1,84,14,36,7.642857142857143,41,5,8.2,12.0,26.0,0.0,1
335993,2,16,18,0,6,148,121,1,90,15,30,8.066666666666666,27,4,6.75,14.0,31.0,0.0,1
335993,2,17,13,0,6,148,139,1,96,16,24,8.6875,9,3,3.0,18.0,44.0,0.0,1
336002,1,1,8,0,6,166,0,0,0,0,120,0.0,166,19,8.736842105263158,0.0,0.0,0.0,0
336002,1,2,9,0,6,166,8,0,6,1,114,8.0,158,18,8.777777777777779,8.0,8.0,0.0,0
336002,1,3,2,0,6,166,17,0,12,2,108,8.5,149,17,8.764705882352942,9.0,17.0,0.0,0
336002,1,4,3,0,6,166,19,0,18,3,102,6.333333333333333,147,16,9.1875,2.0,19.0,0.0,0
336002,1,5,12,0,6,166,22,0,24,4,96,5.5,144,15,9.6,3.0,14.0,0.0,1
336002,1,6,7,0,6,166,34,0,30,5,90,6.8,132,14,9.428571428571429,12.0,17.0,0.0,0
336002,1,7,10,0,6,166,41,0,36,6,84,6.833333333333333,125,13,9.615384615384615,7.0,22.0,0.0,0
336002,1,8,14,0,6,166,51,0,42,7,78,7.285714285714286,115,12,9.583333333333334,10.0,29.0,0.0,1
336002,1,9,11,0,6,166,65,0,48,8,72,8.125,101,11,9.181818181818182,14.0,31.0,0.0,0
336002,1,10,5,0,6,166,76,0,54,9,66,8.444444444444445,90,10,9.0,11.0,35.0,0.0,0
336002,1,11,20,0,6,166,81,0,60,10,60,8.1,85,9,9.444444444444445,5.0,30.0,0.0,1
336002,1,12,7,1,6,166,101,0,66,11,54,9.181818181818182,65,8,8.125,20.0,36.0,0.0,1
336002,1,13,1,1,6,166,108,1,72,12,48,9.0,58,7,8.285714285714286,7.0,32.0,1.0,1
336002,1,14,8,1,6,166,109,2,78,13,42,8.384615384615385,57,6,9.5,1.0,28.0,2.0,1
336002,1,15,6,1,6,166,117,3,84,14,36,8.357142857142858,49,5,9.8,8.0,16.0,3.0,1
336002,1,16,8,0,6,166,123,4,90,15,30,8.2,43,4,10.75,6.0,15.0,3.0,0
336002,1,17,18,0,6,166,131,4,96,16,24,8.1875,35,3,11.666666666666666,8.0,22.0,2.0,1
336002,1,18,9,1,6,166,149,4,102,17,18,8.764705882352942,17,2,8.5,18.0,32.0,1.0,1
336002,1,19,6,2,6,166,158,5,108,18,12,8.777777777777779,8,1,8.0,9.0,35.0,1.0,1
336002,1,20,1,3,6,166,164,7,114,19,6,8.631578947368421,2,0,0.0,6.0,33.0,3.0,1
336002,2,1,10,0,6,166,0,0,0,0,120,0.0,166,19,8.736842105263158,0.0,0.0,0.0,0
336002,2,2,6,0,6,166,10,0,6,1,114,10.0,156,18,8.666666666666666,10.0,10.0,0.0,0
336002,2,3,8,1,6,166,16,0,12,2,108,8.0,150,17,8.823529411764707,6.0,16.0,0.0,1
336002,2,4,6,0,6,166,24,1,18,3,102,8.0,142,16,8.875,8.0,24.0,1.0,0
336002,2,5,6,0,6,166,30,1,24,4,96,7.5,136,15,9.066666666666666,6.0,20.0,1.0,0
336002,2,6,7,0,6,166,36,1,30,5,90,7.2,130,14,9.285714285714286,6.0,20.0,1.0,0
336002,2,7,3,1,6,166,43,1,36,6,84,7.166666666666667,123,13,9.461538461538462,7.0,19.0,0.0,1
336002,2,8,7,0,6,166,46,2,42,7,78,6.571428571428571,120,12,10.0,3.0,16.0,1.0,0
336002,2,9,5,0,6,166,53,2,48,8,72,6.625,113,11,10.272727272727273,7.0,17.0,1.0,0
336002,2,10,3,0,6,166,58,2,54,9,66,6.444444444444445,108,10,10.8,5.0,15.0,1.0,0
336002,2,11,18,0,6,166,61,2,60,10,60,6.1,105,9,11.666666666666666,3.0,15.0,0.0,1
336002,2,12,4,1,6,166,79,2,66,11,54,7.181818181818182,87,8,10.875,18.0,26.0,0.0,1
336002,2,13,5,0,6,166,83,3,72,12,48,6.916666666666667,83,7,11.857142857142858,4.0,25.0,1.0,0
336002,2,14,15,0,6,166,88,3,78,13,42,6.769230769230769,78,6,13.0,5.0,27.0,1.0,1
336002,2,15,3,0,6,166,103,3,84,14,36,7.357142857142857,63,5,12.6,15.0,24.0,1.0,0
336002,2,16,17,1,6,166,106,3,90,15,30,7.066666666666666,60,4,15.0,3.0,23.0,0.0,1
